aai	在
aaibao	外包
aaibei	在被
aaibeijing	在北京
aaibiao	外表
aaibu	外部
aaibutong	在不同
aaichangshi	再尝试
aaiche	赛车
aaichu	外出
aaici	再次
aaidao	再到
aaidi	外地
aaidu	再度
aaidui	在对
aaigongsi	在公司
aaigua	外挂
aaiguan	外观
aaiguo	外国
aaiguoji	在国际
aaiguojia	在国家
aaiguonei	在国内
aaiguoqu	在过去
aaiguoren	外国人
aaiguowai	在国外
aaihui	外汇
aaiji	赛季
aaijia	在家
aaijian	再见
aaijiao	外交
aaijiashang	再加上
aaijie	外界
aaijieshou	在接受
aaijingji	在经济
aaijinnian	在今年
aaijinxing	在进行
aaijiuye	再就业
aaike	外壳
aailai	再来
aaimao	外贸
aaimeiyou	在没有
aaimian	外面
aaina	在那
aainali	在那里
aainan	灾难
aainei	在内
aaini	在你
aainin	在您
aaipei	栽培
aaiqi	在其
aaiqian	在前
aaiqiye	在企业
aaiqu	再去
aaiquanqiu	在全球
aairen	在人
aairiben	在日本
aairu	载入
aaishang	在上
aaishehui	在社会
aaisheng	再生
aaishi	赛事
aaishichang	在市场
aaishiji	在实际
aaishijie	在世界
aaishiyong	在使用
aaishuo	再说
aaita	在他
aaiti	载体
aaiwai	在外
aaiwangluo	在网络
aaiwangshang	在网上
aaiwangzhan	在网站
aaiwei	在为
aaiweilai	在未来
aaiwo	在我
aaiwoguo	在我国
aaixia	在下
aaixian	在线
aaixianggang	在香港
aaixiao	在校
aaixin	再新
aaixing	外形
aaixuexiao	在学校
aaiye	再也
aaiyi	在意
aaiyici	再一次
aaiyiqi	在一起
aaiyixie	在一些
aaiyong	再用
aaiyu	在于
aaizhe	在这
aaizhege	在这个
aaizheli	在这里
aaizhengge	在整个
aaizhexie	在这些
aaizhezhong	在这种
aaizhi	在职
aaizhongguo	在中国
aaizi	外资
aaiziji	在自己
aaizuo	在做
aajue	挖掘
aan	三
aanbi	完毕
aancan	晚餐
aanceng	三层
aancheng	完成
aanchenghou	完成后
aanchengle	完成了
aanci	三次
aanda	三大
aande	玩的
aandengjiang	三等奖
aandun	万吨
aanduo	万多
aang	王
aangba	网吧
aangchao	王朝
aangdian	网点
aange	三个
aangeyue	三个月
aangfan	往返
aangguo	王国
aangji	忘记
aangjile	忘记了
aangka	网卡
aanglai	往来
aangluo	网络
aangmin	网民
aangshang	网上
aangshi	丧失
aangtong	网通
aanguo	三国
aangwang	往往
aangwangshi	往往是
aangye	网页
aangyi	网易
aangyou	网友
aangzhan	网站
aangzhe	望着
aangzhi	网址
aangzi	王子
aanji	三级
aanjia	玩家
aanjiao	三角
aanju	玩具
aanliang	万辆
aanlou	三楼
aanmei	完美
aanmeide	完美的
aanmeiyuan	万美元
aanmen	咱们
aanmu	万亩
aannian	三年
aannong	三农
aanqu	弯曲
aanquan	完全
aanquanshi	完全是
aanren	万人
aanshan	完善
aanshang	晚上
aanshi	三是
aantian	三天
aanting	暂停
aantong	赞同
aanwei	三维
aanwen	散文
aanwu	暂无
aanxia	三峡
aanxiang	三项
aanxing	三星
aanya	三亚
aanyi	万一
aanyuan	万元
aanyue	三月
aanzheng	完整
aanzhengxing	完整性
aanzhong	三种
aanzhu	赞助
aaocan	早餐
aaochen	早晨
aaocheng	造成
aaochengle	造成了
aaodao	遭到
aaofang	造访
aaojiu	早就
aaomiao	扫描
aaoqi	早期
aaori	早日
aaoshang	早上
aaosheng	噪声
aaoshou	遭受
aaoxing	造型
aaoyi	早已
aaoyin	噪音
aaoyu	遭遇
aaozai	早在
aawa	娃娃
aazhi	杂志
ab	按
abguiding	按规定
abhui	安徽
abhuisheng	安徽省
abjian	按键
abjing	安静
abli	案例
abmo	按摩
abniu	按钮
abpai	安排
abquan	安全
abquande	安全的
abquanxing	安全性
abshi	按时
abwei	安慰
abxia	按下
abzhao	按照
abzhi	安置
abzhu	按住
abzhuang	安装
ae	色
aebu	则不
aecai	色彩
aediao	色调
aei	为
aeibei	违背
aeiben	为本
